epoch,loss,mae,absrel,mse,rmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,0.08769726083396602,0.09186836110369102,0.03455010026558061,0.06400820011806642,0.20948703413130904,97.01431666268506,99.15488502204859,99.59937257020563,0.2636973670287347,0.002703228370407402,
1,0.05161168516338593,0.05406126748174229,0.019051157335626123,0.02703592840866477,0.16069548435351777,98.90828801548233,99.76474121519601,99.93789325501186,0.2568509985154799,0.002389115499985162,
2,0.04930442703165059,0.051644409787180386,0.01815093766190813,0.025553579429246263,0.15617637442270413,98.97572673753996,99.77748788629671,99.94085832658676,0.2561139265963433,0.002386872369167223,
3,0.04650677101800585,0.04871581592982248,0.01690797610383759,0.024435837082848237,0.1527574212767505,99.0240721699369,99.78578332517479,99.94264063549747,0.255176366457782,0.0023990284298279177,
4,0.04626662613261584,0.04846508484853591,0.01682054028012079,0.024341980394994665,0.15249746976390657,99.02936335770814,99.78571009042685,99.94236652628238,0.25502126891900007,0.0024118069922595352,
5,0.046087097378463934,0.048271138577395706,0.01674563992735958,0.024240790886239844,0.1521532590434797,99.0329401122698,99.78599954052267,99.94224649030407,0.2541791412681241,0.00239949664896418,
6,0.045673735533723836,0.04783824765234284,0.01655644625622626,0.02410191214435484,0.15161444583365008,99.03881457033138,99.78721847226336,99.94246486440632,0.2540871994400794,0.0023899143304933856,
7,0.045675073294050454,0.047847267891021686,0.01655544731928826,0.02419102574694243,0.15192206295587488,99.03770831582044,99.78663263660833,99.94229222177738,0.2549791347283041,0.0023904773879548247,
8,0.04565278056191021,0.04781980558017315,0.016545619775034444,0.024122017072509,0.15170285510290596,99.0375259068482,99.78688179380396,99.94243236764935,0.2547901064738701,0.0024001136191675303,
9,0.04559807867004656,0.04775892552639725,0.016525344021096025,0.02410479969539659,0.15172789212596124,99.0393050359894,99.7870550162053,99.94247151511422,0.25425677028532867,0.002396982471335231,
