epoch,loss,mae,absrel,mse,rmse,imae,irmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,0.038254479613209685,237.1036445159191,0.01327668892952985,1386346.866815147,1113.3241910982376,642.9015101529744,21309.707872571427,99.45734716167289,99.76573899113737,99.86778212617997,0.1880257403121405,0.006098557768685401,
1,0.03431907169283715,212.70109308736588,0.011661550673878236,1123956.9213653111,1019.0282986956212,7.250704141484059,681.6436574821093,99.60262491446068,99.84379155301262,99.92318074505427,0.188413066085069,0.0061907359903085055,
2,0.033599091813326654,208.15248850421185,0.011406473587863529,1073718.9353730225,996.0470302235608,2.792205525756329,210.23847240990096,99.61786235564274,99.85076529852749,99.92689062674228,0.18891471417453332,0.0061074612418160115,
3,0.033188991768664196,205.65824505727076,0.011264596831793974,1048141.8418356655,984.8729203204368,4.4646050991766435,517.5141096169398,99.62547278016207,99.85417996977463,99.92869650046649,0.18891708964493703,0.006129708361488556,
4,0.032922139454144406,203.9941474822001,0.011177546861826647,1030567.224645437,976.4194971347536,4.071312621247991,410.6627089282949,99.6310261956399,99.85662484690265,99.9301598406845,0.18821954454608827,0.006075737087709218,
5,0.03213991430932219,199.20453355065263,0.010854323912940073,993928.5343021301,958.9934710845332,20.42517193985828,3144.685969205352,99.64278567210074,99.86198325548969,99.93299907805209,0.18722592411242436,0.006099018518459911,
6,0.03205673737439855,198.74523316978696,0.01082730852812329,987418.2635087545,956.0712565175559,13.99291510385763,2620.2071548316503,99.64470639175862,99.8629149841722,99.93350951241771,0.18709042303836781,0.006107200263151565,
7,0.032008559772442366,198.39319254927963,0.010809937638588566,984429.3129479332,954.4602231483738,9.950395132999109,1356.118574700625,99.64554105398638,99.86326745477427,99.93369729457439,0.1878235579985851,0.006119899126466887,
8,0.031970559058955926,198.13355888727838,0.01079846298407388,983049.9482366622,953.0517756830654,10.143241795676893,1401.4717926101887,99.64629777538259,99.86340810766919,99.93362425283414,0.18834636254084008,0.006074438317362906,
9,0.03193457929539834,197.8926862322184,0.01078564701244721,979733.4949129345,951.9097609940162,10.558763588553699,1457.010909698922,99.64709595741944,99.86388235246042,99.93394012547097,0.18815990008809141,0.006108670227019517,
