epoch,loss,mae,absrel,mse,rmse,imae,irmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,1.3036311394434443,283.60921427626755,0.01627988274719847,1394413.6714926425,1109.0368919865632,71.82452171941712,7268.827397753274,99.29613737438132,99.72826607059429,99.85177237304887,0.8034477978691504,0.006628623050139995,
1,0.767177278884773,244.39038138234264,0.013492828489518096,1071631.8267236287,999.6774896802776,14.837857473051733,2147.9598263283315,99.51878775609697,99.84326976595021,99.93410359105313,0.8031517190481804,0.008887696159036116,
2,0.6507599770738343,237.5856591341268,0.013081822445737428,994249.8742120015,964.8033956865003,37.598759966299454,4605.654609906666,99.5500377049371,99.85693871968562,99.94161248719469,0.802717530704349,0.007293398992188549,
3,0.5950429666880364,233.66084068461944,0.012863880187662824,958875.1495065368,947.6607800342653,1.9294262326369616,169.54201476767815,99.56547086303088,99.86326424573535,99.94512037902376,0.802597110186909,0.0061254899308452165,
4,0.5602275861825111,231.94588198014867,0.012772114819131744,934944.5656665463,936.2259425845085,1.8415503091297427,264.99623844543567,99.57371427202983,99.8672081240037,99.94721207304183,0.801956153670363,0.005833810604077429,
5,0.47626423815425084,226.8268699248974,0.012415277360212258,890253.9312516735,915.2338290810767,1.7675419304406352,129.6417763563671,99.59288214389296,99.87442424992399,99.95077646864749,0.8017186223010351,0.0056708436530861365,
6,0.46753361804059246,226.61639126754534,0.012403661398124143,885749.3603296205,912.127779496242,3.542867646719397,452.03243670775134,99.59451071577479,99.87512651855737,99.95107439198303,0.80156154584717,0.006044766092947685,
7,0.459479648369605,226.42807301111822,0.012396164581066167,880495.3424799617,909.4687397260415,1.8590104442838602,177.23692852081808,99.59653421420762,99.87601600250306,99.9514938708348,0.8025684422415686,0.006063869261553452,
8,0.45275822250626996,226.16826645359677,0.012385139327663086,875791.3732821195,907.6620538003458,2.0123787477892483,162.6703189689826,99.5977285540077,99.8764303627024,99.9517017275594,0.8020946983019962,0.006368761071059897,
9,0.4475478035489658,225.74247563705475,0.012367588220195276,872288.2183469057,906.198173232844,2.3356976212951484,178.90287494469038,99.59864773768402,99.8767746534083,99.951890287062,0.8024792759356703,0.007555606831560346,
