epoch,loss,mae,absrel,mse,rmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,-4.812467807077069,0.07243391076900145,0.026163651022800792,0.05307388905666831,0.1825133932207066,98.18011453148482,99.45207378494344,99.72586036891367,0.6002395605391596,0.0011797220055978412,
1,-5.267319164899627,0.06011746834654163,0.02142175950004112,0.030145330936080357,0.1659573205591671,98.7442376259276,99.74848196405489,99.93624226391195,0.5992436386549641,0.0010324251595646564,
2,-5.370990732193705,0.058882610293364536,0.020847787522531108,0.0294170601314152,0.16402498346343908,98.78759331950103,99.76039501990579,99.93991818328632,0.5991234543063774,0.001032162931194703,
3,-5.581958968615725,0.05671867627632336,0.01979995778935292,0.028409059756859308,0.16115144782387916,98.83437869014881,99.77275478591355,99.94421806476544,0.5990903084921051,0.001041181991784943,
4,-5.6070708892337615,0.05654514701795848,0.01971723275539724,0.0282976134412288,0.16078189002655924,98.84408110969405,99.77487797342697,99.94459168383477,0.5990397785643082,0.0010364963331716368,
5,-5.6196373717555,0.05641350660785637,0.019665271781335467,0.028223470004351617,0.16061654689595775,98.84805388601337,99.77513657693665,99.94445717919972,0.6016576340836651,0.001062002351160569,
6,-5.646973977703413,0.056135513796424084,0.01951788133988877,0.02814131263790314,0.1603706745087689,98.85466291316018,99.77676580348268,99.94513742989474,0.6018668758083529,0.0010758289051440713,
7,-5.644266254147709,0.05613869270178281,0.01952590636417981,0.02809201287975154,0.16026255503073378,98.85525429192693,99.77656528560122,99.94505299989538,0.6015413437381878,0.0010733866779773767,
8,-5.649121083895392,0.056121483299080795,0.019524976966489877,0.028084966006078748,0.16020413246351192,98.85400652420465,99.77672845305575,99.94466639879813,0.601208287914407,0.0010707891660804466,
9,-5.6515793323657135,0.056084793847349865,0.019518197211491728,0.028043046711666745,0.16009558998214424,98.85462948196914,99.77639685337705,99.94500924952493,0.5998977124089753,0.0010525298824066592,
