epoch,loss,mae,absrel,mse,rmse,imae,irmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,0.20454205534622769,287.5667234838804,0.01744887205364891,1281535.151308456,1069.6525973863174,3.1905275467663428,170.5325555467166,99.29671596826152,99.74243214271908,99.86193011760574,0.18645080433377242,0.006196451052794698,
1,0.16034704416404108,252.25986993466327,0.014805293303556294,1004835.7184764197,971.2164898491335,1.5870076572357417,56.43136229649343,99.52243535045517,99.8491594727185,99.93838843552346,0.18639730798753776,0.006099546654276744,
2,0.15289637241707263,247.83612790889669,0.014552628176061776,957713.0357298773,948.8444521823453,1.5454384947537005,47.04233531601958,99.54599925869904,99.85843042059548,99.94298158576484,0.18703212620129578,0.006030739465357469,
3,0.14857151491828616,246.11474007500345,0.014485895029960913,930798.1462381254,936.0085223062064,1.8122989658082682,152.43724112083572,99.55802784411493,99.86307409228279,99.94521523121503,0.18732989726736843,0.0060394196025250904,
4,0.14567566809435428,244.90096546130374,0.014410878721893585,914007.5090914515,927.3809210409416,1.56502197290561,61.3174274169024,99.56498279601287,99.86608314740648,99.94678219008266,0.18736690377885992,0.006107874140228398,
5,0.1384306597971846,236.0281456640434,0.013619109644601848,868661.6331521106,904.8844537760966,1.2763725536180854,24.31898117116041,99.58693001798713,99.87409213615737,99.95051101691321,0.18772371256209083,0.00614367549684584,
6,0.13699092459994477,235.9777031137562,0.01363043954043015,859849.3454456885,900.9003616216311,1.2633233757251527,16.028926218036247,99.59010347786759,99.87588218407052,99.95153224731635,0.18806154931276323,0.006181876299508878,
7,0.13618219662995912,235.90826236565246,0.0136306778109266,854852.1971004127,898.6837196310161,1.2494159173614618,17.18326995591899,99.59114895521097,99.87652920269961,99.9518195563982,0.18655201573236327,0.006111994192468076,
8,0.13553426263076263,235.63699907735716,0.013619798703609269,849488.791666606,896.3866020358547,1.2348253117936845,13.176834591582763,99.59262092865849,99.8772874649319,99.95233015436885,0.18616481538329507,0.006028443066276503,
9,0.13493785717345452,235.53563846347524,0.013618287259923197,846065.7474169945,894.4843766259337,1.3972234219696396,72.01748070923755,99.5933539388721,99.87765492147032,99.95253502072748,0.1882192148657466,0.006077893763033263,
